ShipmentId,OrderId,CustomerId,OriginCity,DestinationCity,ShippingCompany,WeightKg,Status,ShipDate,DeliveryDate,TrackingCode,DeliveryAttempts,SLACompliance,CustomerSatisfaction,ProcessType
50,77552,3484,Cartajena,Caly,Envío Facíl,-1,Entregadoo,2025-01-01,2025-02-18,EF-1174,5,Si,6,Manual
51,24897,7940,Bogotaaa,Medellin,En Vio Facil,-1,pendiente,2025-02-05,2024-12-25,EF-0618,1,,2,manual
52,69148,4766,Cartagena,Kartagena,Envio Facil,,En transito…,2025-01-10,2025-01-10,EF-0181,5,Sí,excelente,manual
53,24483,2396,Bogotaaa,Cali,Envio Facil,-1,Entregado,2025-01-26,2025-02-23,EF-0330,1,Sí,3,Manual
54,49555,989,Barrankila,Medellín,Envío Facil,,Entregado,2025-02-08,2025-01-10,EF-1292,1,NO,4,manual
55,18159,3675,Bogota,Bogotaaa,En Vio Facil,"7,8",Rtrasado,2025-01-06,2025-02-23,EF-1480,,NO,4,
56,81077,1509,Cartagena,Cali,Envío Facíl,"7,8",Rtrasado,2024-12-27,2025-01-12,EF-1128,2,No,excelente,
57,36920,1064,Barrankila,Medellín,Envío Facil,pesado,Entregadoo,2024-12-29,2025-02-18,EF-1405,5,Sí,1,Manual
58,93067,5589,Cartagena,Calli,Envio Fasil,4.5,PENDIETE,2025-02-04,2024-12-22,EF-0790,4,Sí,4,Manual
59,68121,3563,Bogota,Medejin,Envío Facíl,,Rtrasado,2025-01-26,2025-01-23,EF-1191,1,,excelente,Automatizado
60,70479,8415,Kartagena,Medejin,Envio Fasil,-1,Rtrasado,2025-02-07,2025-02-15,EF-0559,,No,6,manual
61,90475,3203,Medellin,Medellin,Envío Facil,4.5,Rtrasado,2025-02-08,2025-01-05,EF-1984,5,Si,5,Automatizado
62,20457,8702,Medellin,Medellin,Envio Facil,,Entransito,2024-12-25,2025-02-06,EF-1580,5,Si,2,
63,67557,1431,Medellín,Medellín,Envío Facíl,-1,En transito…,2025-02-07,2025-01-14,EF-1040,2,,3,Manual
64,78189,8159,Barranquilla,Bogotaaa,Envío Facíl,999,Rtrasado,2025-01-24,2025-01-21,EF-1851,5,Si,5,manual
65,79953,2911,Caly,Bogotá,Envío Facil,999,pendiente,2025-01-10,2025-02-03,EF-0496,4,Sí,4,
66,53995,6781,Bogotaaa,Bogotá,Envío Facíl,,Rtrasado,2025-01-14,2025-01-29,EF-0034,5,NO,3,
67,41757,7905,Bogotaaa,Cartagena,Envío Facíl,-1,Entransito,2025-02-04,2025-01-02,EF-1966,2,No,excelente,manual
68,10692,621,Medellin?,Caly,Envío Facil,pesado,Entregadoo,2024-12-24,2024-12-25,EF-0720,1,Si,3,Manual
69,46758,1146,Barrankila,Barrankila,En Vio Facil,pesado,Entransito,2025-01-18,2025-01-06,EF-0974,5,Si,4,Manual
70,73409,9578,Medellin?,Cali,Envío Facil,999,pendiente,2025-01-20,2024-12-30,EF-0966,5,Si,***,manual
71,72211,2034,Caly,Medellin?,Envío Facíl,0.5,Entransito,2025-01-19,2025-02-17,EF-0567,3,Si,5,
72,66697,1764,Barrankilla,Barranquilla,Envío Facil,,pendiente,2025-01-11,2025-01-24,EF-0888,4,NO,0,
73,38065,7532,Cartajena,Medellin?,Envío Facíl,,Entregadoo,2025-02-01,2025-01-12,EF-1789,,NO,3,manual
74,93093,5144,Caly,Bogotá,Envio Fasil,999,PENDIETE,2025-01-17,2025-02-14,EF-1394,4,,4,Automatizado
75,33606,1508,Barrankila,Barrankilla,Envio Fasil,,Rtrasado,2025-02-09,2025-01-05,EF-0074,,Sí,1,manual
76,12534,3186,Medejin,Cartajena,Envio Facil,pesado,Entregado,2025-01-15,2025-02-10,EF-1560,,Si,2,Manual
77,95663,586,Medeyin,Medellin?,Envío Facil,-1,PENDIETE,2024-12-24,2025-01-16,EF-1947,4,,0,Automatizado
78,41397,6331,Medellin,Barrankilla,Envío Facil,,Rtrasado,2024-12-22,2025-01-04,EF-0623,,Sí,5,Automatizado
79,92387,9553,Medellin,Barranquilla,Envio Fasil,0.5,Entregado,2025-01-13,2025-02-20,EF-1266,5,NO,0,Manual
80,2016,3458,Medellin?,Medejin,Envio Fasil,"7,8",pendiente,2025-02-02,2024-12-26,EF-0457,4,Si,0,manual
81,90789,6321,Bogta,Medellin,Envio Fasil,0.5,Entransito,2024-12-26,2025-01-13,EF-0240,4,NO,3,manual
82,56591,5011,Medellin,Barranquilla,Envio Facil,-1,pendiente,2025-01-21,2024-12-25,EF-1424,3,Si,3,Automatizado
83,90812,6774,Bogota,Medellin?,Envio Facil,"7,8",pendiente,2025-01-15,2025-02-11,EF-1154,2,NO,4,Manual
84,24247,6897,Calli,Calli,En Vio Facil,pesado,Rtrasado,2025-01-25,2025-01-20,EF-0671,2,,0,Automatizado
85,25300,4133,Bogota,Cartagena,Envío Facil,999,Entregadoo,2025-02-02,2025-01-24,EF-1087,1,,excelente,
86,75065,1639,Medellín,Medellin,Envio Facil,-1,pendiente,2024-12-22,2025-01-08,EF-1071,,NO,0,Automatizado
87,83798,6369,Barrankila,Caly,Envío Facíl,4.5,En transito…,2025-01-05,2025-01-23,EF-1279,,NO,,
88,10268,4680,Kartagena,Kartagena,Envío Facil,-1,pendiente,2025-01-29,2024-12-21,EF-0531,,No,2,manual
89,87807,255,Medejin,Bogotá,En Vio Facil,pesado,pendiente,2025-01-14,2025-01-30,EF-1592,,Si,0,manual
90,13185,3524,Bogotá,Cali,Envio Fasil,4.5,Entransito,2025-01-24,2025-02-11,EF-1035,3,No,5,Manual
91,64704,6977,Barranquilla,Barrankila,En Vio Facil,"7,8",Rtrasado,2025-02-06,2025-02-22,EF-1878,,NO,2,Automatizado
92,87779,305,Caly,Kartagena,Envío Facil,4.5,Entregado,2025-01-08,2025-01-29,EF-1501,,,0,
93,40099,3401,Medellin,Barranquilla,Envio Fasil,"7,8",PENDIETE,2025-01-15,2025-02-20,EF-0377,5,Si,***,Manual
94,9571,869,Barranquilla,Barranquilla,En Vio Facil,-1,pendiente,2025-01-26,2025-02-13,EF-0223,,,3,
95,39044,9134,Medellin?,Cartagena,En Vio Facil,4.5,PENDIETE,2024-12-22,2024-12-31,EF-1928,,NO,excelente,Manual
96,52214,1166,Barrankila,Bogta,Envío Facil,"7,8",Entregadoo,2024-12-30,2025-02-10,EF-0074,1,No,2,manual
97,62228,507,Calli,Bogotaaa,Envio Facil,-1,Entregadoo,2025-01-31,2025-01-15,EF-0134,4,Si,,Automatizado
98,49984,2338,Bogotaaa,Medellín,Envío Facíl,4.5,En transito…,2025-01-21,2025-02-06,EF-1695,1,No,6,Automatizado
99,41774,309,Bogota,Bogta,En Vio Facil,"7,8",Entregadoo,2025-01-12,2025-02-03,EF-1779,2,Si,6,Manual
100,3568,3832,Barrankila,Medeyin,Envío Facíl,0.5,pendiente,2025-01-28,2025-01-22,EF-1635,1,,***,Manual
101,63592,6928,Caly,Medejin,Envío Facil,,PENDIETE,2025-02-05,2025-02-22,EF-0306,1,Sí,***,Manual
102,68563,5884,Medeyin,Cartajena,Envío Facil,0.5,Entregado,2025-01-31,2024-12-29,EF-1896,,Si,3,Automatizado
103,3695,6699,Calli,Barrankilla,Envio Facil,pesado,Rtrasado,2024-12-23,2024-12-22,EF-1274,3,NO,6,manual
104,49190,2115,Medellin,Medellin,Envio Fasil,999,PENDIETE,2025-01-31,2025-01-03,EF-0541,4,Si,,Manual
105,6258,756,Medellín,Bogta,Envío Facíl,999,Rtrasado,2025-02-04,2025-01-25,EF-0277,5,NO,0,Manual
106,88538,7819,Medejin,Cali,En Vio Facil,4.5,En transito…,2025-01-10,2025-01-24,EF-1193,,Sí,2,Automatizado
107,40504,304,Bogota,Calli,Envio Fasil,999,PENDIETE,2025-01-13,2025-02-22,EF-0837,5,Sí,1,manual
108,34159,2247,Bogota,Kartagena,Envío Facíl,-1,pendiente,2025-01-02,2025-01-14,EF-1221,3,,1,
109,14986,345,Bogta,Medejin,Envío Facíl,"7,8",Entregado,2024-12-31,2024-12-29,EF-0600,,,excelente,
110,62858,1073,Medejin,Medeyin,Envio Fasil,0.5,pendiente,2025-01-22,2025-02-01,EF-1359,3,Sí,excelente,manual
111,13666,498,Calli,Medejin,Envio Fasil,0.5,Entregadoo,2024-12-26,2024-12-30,EF-0440,,Si,6,manual
112,39660,3438,Bogota,Bogotá,Envio Facil,-1,Entregado,2025-02-03,2025-02-15,EF-0796,,Si,5,Manual
113,4561,9037,Barrankilla,Bogotaaa,En Vio Facil,"7,8",Entransito,2025-01-19,2025-01-22,EF-1186,5,,6,Automatizado
114,27854,6582,Bogota,Cartagena,En Vio Facil,4.5,Entransito,2025-01-23,2024-12-29,EF-0056,,Si,2,Automatizado
115,65505,2711,Medellin?,Medeyin,En Vio Facil,-1,PENDIETE,2025-01-13,2025-02-12,EF-1997,1,Si,5,manual
116,53251,6796,Medellin?,Medeyin,Envio Fasil,pesado,En transito…,2025-01-26,2025-01-02,EF-0183,4,Si,6,
117,23662,983,Bogta,Medellin,Envio Facil,pesado,pendiente,2025-01-03,2025-01-13,EF-0940,5,Si,2,Automatizado
118,9392,5192,Cali,Bogta,Envío Facil,-1,Rtrasado,2025-02-09,2025-02-20,EF-1440,1,NO,3,manual
119,31535,570,Caly,Barrankilla,Envio Facil,pesado,pendiente,2024-12-23,2025-01-29,EF-1916,1,,6,Manual
120,79603,686,Cali,Barrankila,Envio Fasil,999,pendiente,2025-01-01,2025-02-17,EF-1238,2,Sí,0,Automatizado
121,53256,7578,Bogotá,Medellin?,Envio Facil,"7,8",PENDIETE,2025-01-18,2025-02-14,EF-1053,3,Sí,2,
122,90135,3396,Barranquilla,Cartagena,Envio Fasil,0.5,PENDIETE,2025-01-15,2025-02-22,EF-1027,,NO,2,
123,36222,9752,Cartagena,Cali,Envío Facíl,-1,Entregadoo,2025-01-26,2025-02-18,EF-0325,,,***,
124,78373,4487,Barranquilla,Barrankilla,Envío Facíl,pesado,En transito…,2025-01-08,2025-01-12,EF-1010,5,NO,2,manual
125,80575,2461,Bogotaaa,Caly,Envío Facil,0.5,Entregado,2025-01-29,2025-01-16,EF-0779,5,,,Automatizado
126,97354,9348,Bogotaaa,Medeyin,Envío Facíl,-1,pendiente,2024-12-30,2025-02-19,EF-1790,,NO,4,
127,85651,8772,Calli,Caly,Envío Facil,pesado,Rtrasado,2024-12-23,2025-02-02,EF-0176,4,Si,1,Manual
128,64335,438,Barrankilla,Barranquilla,En Vio Facil,pesado,Entransito,2025-01-26,2025-02-15,EF-0617,,NO,0,Manual
129,11965,7043,Bogta,Barranquilla,Envio Fasil,-1,Entransito,2025-02-05,2025-02-01,EF-1845,,NO,***,Automatizado
130,25538,1305,Bogota,Kartagena,En Vio Facil,4.5,PENDIETE,2025-01-07,2025-02-20,EF-1336,5,No,6,Automatizado
131,71592,1586,Medellin,Bogotá,En Vio Facil,"7,8",PENDIETE,2025-01-23,2025-01-15,EF-0949,1,,5,
132,99018,9919,Kartagena,Medeyin,Envío Facil,4.5,Entregadoo,2025-01-25,2025-02-22,EF-1178,1,Si,5,Manual
133,9110,1867,Bogota,Medejin,Envio Fasil,999,Entregado,2025-01-23,2025-01-13,EF-0393,4,NO,5,Manual
134,80309,2891,Bogotaaa,Medellín,Envío Facil,0.5,Entransito,2025-01-22,2024-12-31,EF-1388,1,Si,0,Automatizado
135,28266,7956,Medellin?,Medellin,Envio Facil,999,Entregadoo,2025-01-10,2025-02-11,EF-1995,1,,3,manual
136,53992,2196,Barrankila,Bogta,En Vio Facil,0.5,PENDIETE,2025-01-20,2025-02-01,EF-1729,5,Sí,,
137,83948,1625,Bogotaaa,Barranquilla,Envio Fasil,-1,En transito…,2025-01-12,2025-01-16,EF-0358,3,No,0,manual
138,99806,8223,Bogota,Medellin?,En Vio Facil,"7,8",Rtrasado,2025-01-15,2024-12-21,EF-1080,5,No,***,manual
139,7910,7049,Kartagena,Calli,Envio Facil,pesado,Entregadoo,2025-02-04,2025-02-07,EF-1308,2,,,Manual
140,91982,3447,Calli,Bogotaaa,Envio Facil,"7,8",En transito…,2025-02-05,2025-02-06,EF-1687,4,No,4,Manual
141,1206,2792,Kartagena,Bogta,Envio Fasil,pesado,pendiente,2025-02-03,2025-02-11,EF-1951,,Sí,excelente,Manual
142,88054,1690,Bogota,Bogotaaa,Envio Fasil,,PENDIETE,2025-01-01,2024-12-31,EF-1986,1,Si,6,
143,88897,1424,Medeyin,Bogta,Envio Facil,999,PENDIETE,2025-02-09,2024-12-29,EF-1213,5,NO,4,manual
144,24419,2787,Barrankilla,Barranquilla,En Vio Facil,,Entregadoo,2025-01-24,2025-02-19,EF-1618,5,,5,manual
145,51636,7914,Barrankila,Barrankila,Envío Facíl,"7,8",Rtrasado,2025-01-18,2025-01-11,EF-1040,,,1,manual
146,51015,3264,Bogota,Caly,En Vio Facil,999,Entregadoo,2025-01-25,2025-02-02,EF-0187,,No,***,Manual
147,55268,8004,Bogotá,Barrankila,Envío Facíl,,En transito…,2024-12-25,2025-01-19,EF-0746,1,NO,0,
148,88939,1032,Cartajena,Calli,Envío Facil,,Rtrasado,2024-12-30,2025-02-18,----,4,No,6,Manual
149,19141,2640,Cartajena,Calli,Envio Fasil,999,PENDIETE,2025-02-02,2025-02-13,EF-1200,5,No,3,manual
150,81356,4995,Medellin?,Barranquilla,Envio Facil,999,En transito…,2025-01-12,2025-01-28,EF-0273,3,Si,5,Automatizado
151,72910,1846,Medejin,Caly,Envío Facil,0.5,Entregadoo,2025-01-15,2025-01-30,EF-0495,,Si,2,Manual
152,57044,640,Bogota,Medellin?,En Vio Facil,pesado,Entregado,2025-01-11,2024-12-29,EF-1571,1,No,2,Manual
153,68214,6156,Barrankila,Bogta,Envío Facíl,-1,Entransito,2025-01-15,2024-12-21,EF-0607,4,Sí,3,
154,34827,9921,Cali,Cartagena,Envio Fasil,,Entregadoo,2025-01-31,2024-12-23,EF-1467,2,,2,Automatizado
155,56820,2567,Bogotaaa,Medeyin,Envío Facíl,4.5,Entregadoo,2025-01-07,2024-12-31,EF-0216,,Sí,3,
156,63623,6896,Cali,Barrankilla,En Vio Facil,999,En transito…,2025-01-05,2024-12-24,EF-1705,1,,5,Manual
157,82734,5390,Calli,Bogta,En Vio Facil,0.5,Entregado,2025-01-31,2025-01-22,EF-1317,2,NO,4,
158,76450,4863,Medellin,Bogta,Envio Facil,pesado,Entregado,2024-12-28,2025-01-22,EF-0113,1,NO,5,Manual
159,94426,7262,Medeyin,Medellín,Envío Facil,0.5,pendiente,2025-01-22,2025-02-03,EF-0030,5,Sí,5,Automatizado
160,23299,4531,Medellin,Bogta,Envio Fasil,4.5,Entregado,2024-12-29,2025-01-09,EF-0338,4,No,excelente,
161,44585,9696,Calli,Bogota,Envio Facil,-1,Rtrasado,2024-12-24,2025-01-26,EF-1243,3,No,0,Automatizado
162,65044,3234,Bogta,Caly,Envío Facíl,pesado,Entransito,2025-01-23,2025-01-10,EF-1424,2,NO,1,Manual
163,43557,9577,Bogotaaa,Medellin?,Envío Facil,"7,8",Entransito,2025-01-26,2025-02-16,EF-0980,2,No,1,Manual
164,50080,3462,Cali,Medellín,Envio Fasil,"7,8",pendiente,2025-01-07,2025-02-09,EF-1897,1,Si,4,Automatizado
165,3693,2307,Medellín,Bogotá,Envío Facíl,0.5,Rtrasado,2024-12-22,2025-01-05,EF-1071,2,NO,,
166,96003,7236,Bogota,Cartajena,Envio Fasil,-1,En transito…,2025-01-26,2025-01-25,EF-1820,1,,excelente,Automatizado
167,96259,4520,Medellin?,Barrankila,Envio Fasil,"7,8",pendiente,2025-01-30,2025-02-08,EF-0917,1,,3,Automatizado
168,70163,6138,Medejin,Barrankila,Envío Facil,999,En transito…,2025-01-07,2025-02-06,EF-0041,2,No,4,manual
169,26939,2947,Kartagena,Cali,Envío Facíl,pesado,pendiente,2025-02-03,2025-01-18,EF-1277,2,,5,Automatizado
170,49925,4877,Medellín,Kartagena,Envio Facil,4.5,Entransito,2025-02-07,2025-01-31,EF-1837,5,,,Automatizado
171,43941,8172,Bogota,Cartajena,Envio Facil,4.5,En transito…,2025-01-27,2025-02-17,EF-0353,5,Sí,1,manual
172,22834,4464,Medeyin,Cartajena,Envio Facil,"7,8",Rtrasado,2025-01-15,2025-02-13,EF-0624,,Sí,excelente,manual
173,19047,3333,Calli,Barrankila,Envio Fasil,,PENDIETE,2025-01-15,2025-01-11,EF-0201,5,,3,Automatizado
174,27105,1665,Bogotá,Medellin?,En Vio Facil,,Entransito,2025-01-03,2024-12-22,EF-1472,4,NO,0,Manual
175,76766,4309,Calli,Medeyin,Envío Facil,-1,PENDIETE,2025-01-03,2024-12-28,EF-0216,3,,1,manual
176,16707,2411,Bogta,Calli,Envio Facil,,Entregadoo,2025-01-02,2025-01-30,EF-0653,5,Si,4,Automatizado
177,22976,5739,Kartagena,Barrankila,Envío Facil,"7,8",En transito…,2025-01-22,2024-12-31,EF-0222,5,NO,1,Manual
178,45262,9935,Cali,Bogta,Envio Fasil,"7,8",PENDIETE,2025-01-25,2025-01-13,EF-1195,1,Si,,
179,24776,1889,Bogta,Bogota,Envío Facil,"7,8",Entransito,2025-01-18,2025-01-15,EF-0225,3,Si,3,Manual
180,31080,9963,Bogta,Kartagena,Envio Facil,999,Entregadoo,2025-02-03,2025-01-24,EF-0119,2,No,***,
181,67842,7927,Medellín,Calli,Envio Facil,pesado,PENDIETE,2025-01-10,2024-12-25,EF-1134,4,Sí,5,Automatizado
182,62373,7964,Bogotá,Cartajena,Envio Fasil,,Entregadoo,2025-01-18,2025-01-04,EF-1909,2,No,3,Automatizado
183,7776,4741,Bogota,Calli,Envio Fasil,0.5,Entransito,2025-01-21,2025-01-03,EF-0570,1,Si,,manual
184,93787,3741,Medellín,Medellín,Envío Facíl,-1,Entregadoo,2025-01-14,2025-01-26,EF-0472,4,No,0,
185,56016,1018,Calli,Bogota,Envio Fasil,pesado,Entransito,2025-01-01,2025-01-07,EF-1300,5,No,0,Manual
186,10474,4721,Medellin?,Caly,En Vio Facil,-1,Entregado,2025-02-01,2025-02-04,EF-1138,3,NO,***,Manual
187,59053,1324,Bogotaaa,Bogotaaa,En Vio Facil,-1,Entransito,2025-01-06,2025-02-15,EF-1215,3,No,2,Manual
188,22959,5860,Barrankilla,Medejin,Envio Facil,pesado,Entregadoo,2025-01-28,2025-01-29,EF-1537,5,NO,2,Automatizado
189,6530,5841,Bogta,Barrankila,Envio Fasil,"7,8",En transito…,2025-01-07,2025-02-03,EF-1047,2,No,,
190,95856,1329,Bogotaaa,Calli,En Vio Facil,"7,8",Entransito,2025-02-04,2025-01-05,EF-1569,2,No,0,Automatizado
191,4748,1902,Medejin,Medejin,En Vio Facil,pesado,Entransito,2025-02-09,2025-02-20,EF-0697,5,Si,0,Automatizado
192,98504,2201,Cartajena,Caly,Envío Facíl,"7,8",En transito…,2025-02-03,2025-01-12,EF-0209,5,Si,,Manual
193,99098,7112,Bogotaaa,Bogta,Envio Fasil,,Rtrasado,2024-12-26,2025-02-09,EF-0694,3,,3,manual
194,14545,4078,Calli,Bogotaaa,Envío Facíl,pesado,Rtrasado,2025-01-10,2024-12-21,EF-1474,2,,3,Manual
195,67199,7432,Cartagena,Caly,Envío Facil,999,Entregadoo,2025-02-07,2025-02-03,EF-0607,,NO,3,Automatizado
196,35766,6531,Bogta,Medejin,Envío Facíl,999,Rtrasado,2025-01-25,2024-12-24,EF-1659,4,Si,4,Manual
197,74530,6235,Medellín,Cali,Envío Facil,-1,PENDIETE,2025-02-07,2025-02-13,EF-1695,4,,3,Automatizado
198,94557,6723,Bogotá,Bogota,Envío Facil,999,Rtrasado,2025-02-02,2024-12-30,EF-0438,1,No,***,Manual
199,62087,8311,Bogota,Barranquilla,Envio Fasil,pesado,Entregado,2025-01-04,2025-01-19,EF-0246,1,Si,5,
200,96839,8936,Bogota,Medellín,Envío Facil,999,Rtrasado,2025-01-16,2025-01-03,EF-0912,1,No,excelente,Manual
201,69840,2601,Medellin?,Bogta,Envío Facil,pesado,PENDIETE,2025-02-04,2025-01-19,EF-1189,2,No,excelente,Automatizado
202,55384,9681,Medellín,Cartagena,Envío Facíl,"7,8",Entransito,2025-02-02,2024-12-25,EF-0869,4,NO,***,
203,52005,9174,Medellin,Caly,Envio Fasil,999,PENDIETE,2025-02-05,2025-01-04,EF-0248,2,Si,,manual
204,47576,739,Cartajena,Medellin,Envio Fasil,pesado,Entregadoo,2025-02-01,2025-01-06,EF-0391,5,No,4,
205,40353,5815,Barranquilla,Cartajena,Envío Facil,0.5,pendiente,2025-01-14,2025-02-06,EF-0245,3,NO,5,Manual
206,63003,3156,Bogota,Medejin,Envío Facíl,0.5,PENDIETE,2025-01-21,2025-01-14,EF-0769,,Sí,excelente,
207,84211,8277,Cali,Caly,Envío Facíl,,Entregadoo,2025-01-08,2025-01-08,EF-1170,1,Sí,***,Manual
208,53733,3922,Medeyin,Bogta,Envío Facíl,pesado,Entregadoo,2025-01-29,2025-02-17,EF-1450,5,No,3,Automatizado
209,66318,5287,Kartagena,Cartagena,Envío Facíl,999,Rtrasado,2025-02-09,2025-02-11,EF-0807,5,No,0,Automatizado
